Instance	Ergebnis
london-s406-i03	Blocked
london-s406-i04	Blocked
london-s406-i05	Blocked
london-s406-i06	Blocked
london-s406-i07	Blocked
london-s406-i08	Blocked
london-s406-i09	Blocked
london-s406-i10	Blocked
london-s406-i11	Blocked
london-s406-i12	Blocked
london-s406-i13	Blocked
london-s406-i14	Blocked
london-s406-i15	Blocked
london-s406-i16	Blocked
london-s406-i17	Blocked
london-s406-i18	Blocked
london-s406-i19	Blocked
london-s406-i20	Blocked
london-s406-i21	Blocked
london-s406-i22	Blocked
london-s406-i23	Blocked
london-s406-i24	Blocked
london-s406-i25	Blocked
london-s406-i26	Blocked
london-s406-i27	Blocked
london-s406-i28	Blocked
london-s406-i29	Blocked
london-s406-i30	Blocked
london-s406-i31	Blocked
london-s432-i01	Blocked
london-s432-i02	Blocked
