Instance	Ergebnis
washington-s421-i43	Available
washington-s421-i44	Available
washington-s421-i45	Available
washington-s421-i46	Available
washington-s421-i47	Available
washington-s421-i48	Available
washington-s421-i49	Available
washington-s421-i50	Available
washington-s421-i51	Available
washington-s421-i52	Available
washington-s421-i53	Available
washington-s421-i54	Available
washington-s421-i55	Available
washington-s421-i56	Available
washington-s421-i57	Available
washington-s421-i58	Available
