Hostname	Ergebnis
us6291	Skipped (VPN connection failed)
us6292	Available
us6293	Available
us6294	Skipped (VPN connection failed)
us6295	Available
us6296	Skipped (VPN connection failed)
us6298	Available
us6299	Skipped (VPN connection failed)
us6300	Skipped (VPN connection failed)
us6301	Skipped (VPN connection failed)
us6302	Available
us6303	Available
us6304	Available
us6305	Skipped (VPN connection failed)
us6306	Skipped (VPN connection failed)
us6307	Skipped (VPN connection failed)
us6308	Available
us6309	Available
us6310	Skipped (VPN connection failed)
us6311	Skipped (VPN connection failed)
us6312	Available
us6313	Available
us6314	Available
us6315	Available
us6316	Skipped (VPN connection failed)
us6317	Skipped (VPN connection failed)
us6318	Available
us6319	Skipped (VPN connection failed)
us6320	Skipped (VPN connection failed)
us6321	Skipped (VPN connection failed)
us6322	Available
us6323	Available
us6324	Available
us6352	Skipped (VPN connection failed)
us6458	Skipped (VPN connection failed)
us6459	Skipped (VPN connection failed)
us6460	Available
us6461	Available
us6462	Skipped (VPN connection failed)
us6474	Available
us6480	Skipped (VPN connection failed)
us6482	Available
us6483	Available
us6484	Available
us6485	Skipped (VPN connection failed)
us6486	Available
us6487	Skipped (VPN connection failed)
us6488	Skipped (VPN connection failed)
us6489	Skipped (VPN connection failed)
us6490	Available
us6491	Available
us6492	Available
us6493	Skipped (VPN connection failed)
us6494	Skipped (VPN connection failed)
us6495	Skipped (VPN connection failed)
us6496	Available
us6497	Available
us6533	Skipped (VPN connection failed)
us6534	Skipped (VPN connection failed)
us6535	Available
us6536	Skipped (VPN connection failed)
us6537	Available
us6538	Available
us6539	Available
us6540	Skipped (VPN connection failed)
us6572	Available
us6573	Skipped (VPN connection failed)
us6574	Skipped (VPN connection failed)
us6575	Skipped (VPN connection failed)
us6576	Available
us6587	Available
us6588	Available
us6589	Skipped (VPN connection failed)
us6590	Skipped (VPN connection failed)
us6591	Skipped (VPN connection failed)
us6592	Available
us6593	Available
us6607	Skipped (VPN connection failed)
us6608	Available
us6609	Skipped (VPN connection failed)
us6610	Skipped (VPN connection failed)
us6611	Available
us6612	Available
us6613	Available
us6614	Skipped (VPN connection failed)
us6620	Available
us6657	Skipped (VPN connection failed)
us6658	Skipped (VPN connection failed)
us6659	Skipped (VPN connection failed)
us6660	Available
us6661	Available
us6662	Available
us6663	Skipped (VPN connection failed)
us6664	Skipped (VPN connection failed)
us6665	Skipped (VPN connection failed)
us6668	Available
us6670	Available
us6671	Skipped (VPN connection failed)
us6672	Available
us6694	Skipped (VPN connection failed)
us6695	Available
us6696	Available
us6697	Skipped (VPN connection failed)
us6698	Available
us6699	Available
us6709	Skipped (VPN connection failed)
us6710	Skipped (VPN connection failed)
us6721	Skipped (VPN connection failed)
us6722	Available
us6723	Available
us6724	Available
us6725	Skipped (VPN connection failed)
us6741	Skipped (VPN connection failed)
us6742	Skipped (VPN connection failed)
us6743	Available
us6744	Available
us6745	Skipped (VPN connection failed)
us6746	Available
us6747	Skipped (VPN connection failed)
us6748	Skipped (VPN connection failed)
us6749	Available
us6750	Available
us6751	Skipped (VPN connection failed)
us6752	Available
us6775	Available
us6776	Skipped (VPN connection failed)
us6777	Skipped (VPN connection failed)
us6778	Skipped (VPN connection failed)
us6779	Available
us6780	Available
us6781	Available
us6782	Skipped (VPN connection failed)
us6783	Skipped (VPN connection failed)
us6784	Available
us6757	Available
us6758	Skipped (VPN connection failed)
us6760	Available
us6761	Skipped (VPN connection failed)
us6762	Skipped (VPN connection failed)
us6763	Available
us6765	Available
us6766	Skipped (VPN connection failed)
us6821	Available
us6822	Available
us6823	Skipped (VPN connection failed)
us6824	Skipped (VPN connection failed)
us6825	Skipped (VPN connection failed)
us6826	Available
us6827	Available
us6828	Skipped (VPN connection failed)
us6829	Skipped (VPN connection failed)
us6830	Available
us6860	Skipped (VPN connection failed)
us6861	Available
us6862	Available
us6863	Skipped (VPN connection failed)
us6864	Available
us6865	Skipped (VPN connection failed)
us6866	Skipped (VPN connection failed)
us6867	Available
us6880	Available
us6881	Available
us6882	Skipped (VPN connection failed)
us6883	Available
us6901	Skipped (VPN connection failed)
us6902	Skipped (VPN connection failed)
us6903	Skipped (VPN connection failed)
us6904	Available
us6911	Available
us6912	Skipped (VPN connection failed)
us6913	Available
us6914	Skipped (VPN connection failed)
us6915	Skipped (VPN connection failed)
us6916	Available
us6917	Available
us6918	Skipped (VPN connection failed)
us6919	Available
us6945	Skipped (VPN connection failed)
us6944	Skipped (VPN connection failed)
us6946	Available
us6947	Available
us6948	Available
us6949	Available
us6950	Skipped (VPN connection failed)
us6951	Skipped (VPN connection failed)
us6952	Skipped (VPN connection failed)
us6953	Skipped (VPN connection failed)
us6954	Available
us4961	Skipped (Dedicated IP required)
us4962	Skipped (Dedicated IP required)
us8023	Blocked
us8024	Blocked
us8025	Blocked
us8026	Blocked
us8027	Blocked
us8028	Available
us8029	Skipped (VPN connection failed)
us8030	Available
us8031	Available
us8032	Available
us8033	Skipped (VPN connection failed)
us8034	Available
us8035	Skipped (VPN connection failed)
us8036	Skipped (VPN connection failed)
us8037	Available
us8038	Available
us8039	Available
us8040	Available
us8041	Skipped (VPN connection failed)
us8042	Skipped (VPN connection failed)
us8043	Skipped (VPN connection failed)
us8044	Skipped (VPN connection failed)
us8045	Available
us8046	Skipped (VPN connection failed)
us8047	Available
us8048	Skipped (VPN connection failed)
us8049	Skipped (VPN connection failed)
us8050	Available
us8051	Available
us8052	Available
us8053	Skipped (VPN connection failed)
us8054	Available
us8055	Skipped (VPN connection failed)
us8056	Available
us8057	Available
us8083	Available
us8088	Blocked
us8089	Blocked
us8090	Blocked
us8091	Blocked
us8092	Blocked
us8093	Blocked
us8094	Blocked
us8095	Available
us8096	Skipped (VPN connection failed)
us8097	Skipped (VPN connection failed)
us8098	Available
us8099	Skipped (VPN connection failed)
us8100	Skipped (VPN connection failed)
us8101	Available
us8102	Skipped (VPN connection failed)
us8103	Available
us8104	Available
us8105	Available
us8106	Skipped (VPN connection failed)
us8107	Available
us8108	Skipped (VPN connection failed)
us8109	Skipped (VPN connection failed)
us8110	Available
us8111	Available
us8112	Available
us8113	Skipped (VPN connection failed)
us8114	Skipped (VPN connection failed)
us8115	Skipped (VPN connection failed)
us8116	Available
us8117	Available
us8118	Skipped (VPN connection failed)
us8119	Skipped (VPN connection failed)
us8120	Skipped (VPN connection failed)
us8121	Available
us8122	Skipped (VPN connection failed)
us8123	Available
us8124	Available
us8125	Available
us8126	Skipped (VPN connection failed)
us8127	Available
us8128	Skipped (VPN connection failed)
us8129	Available
us8130	Available
us8131	Available
us8132	Skipped (VPN connection failed)
us8133	Skipped (VPN connection failed)
us8134	Skipped (VPN connection failed)
us8135	Blocked
us8136	Blocked
us8137	Blocked
us8138	Blocked
us8139	Blocked
us8140	Blocked
us8141	Blocked
us8192	Available
us8193	Available
us8194	Skipped (VPN connection failed)
us8195	Available
us8196	Skipped (VPN connection failed)
us8197	Skipped (VPN connection failed)
us8198	Available
us8199	Available
us8200	Available
us8201	Skipped (VPN connection failed)
us8202	Available
us8203	Skipped (VPN connection failed)
us8204	Available
us8205	Available
us8206	Available
us8207	Skipped (VPN connection failed)
us8208	Skipped (VPN connection failed)
us8209	Skipped (VPN connection failed)
us8210	Skipped (VPN connection failed)
us8211	Skipped (VPN connection failed)
us8212	Available
us8213	Available
us8214	Available
us8215	Skipped (VPN connection failed)
us8216	Skipped (VPN connection failed)
us8217	Available
us8218	Available
us8219	Skipped (VPN connection failed)
us8220	Available
us8221	Available
us8222	Skipped (VPN connection failed)
us8223	Skipped (VPN connection failed)
us8224	Available
us8225	Available
us8226	Available
us8227	Skipped (VPN connection failed)
us8228	Skipped (VPN connection failed)
us8229	Skipped (VPN connection failed)
us8230	Skipped (VPN connection failed)
us8231	Available
us8232	Available
us8233	Skipped (VPN connection failed)
us8234	Available
us8235	Skipped (VPN connection failed)
us8236	Skipped (VPN connection failed)
us8237	Available
us8238	Available
us8239	Skipped (VPN connection failed)
us8240	Available
us8241	Available
us8242	Skipped (VPN connection failed)
us8243	Available
us8244	Available
us8245	Available
us8246	Skipped (VPN connection failed)
